file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
AV-form1/signalsFiles/f:01-nw:016-ml:16-0.signal,2,32,16,"G(F[0.0,2.0]p)",2,True,30.142439126968384,12.152976274490356,7200
AV-form1/signalsFiles/f:01-nw:016-ml:12-0.signal,2,32,12,"G(F[0.0,2.0]p)",2,True,33.27825570106506,15.512696743011475,7200
AV-form1/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0125,1.525]p)",2,True,4.607079029083252,0.7249405384063721,7200
AV-form1/signalsFiles/f:01-nw:004-ml:08-0.signal,2,8,8,"G(F[0.2,2.0]p)",2,True,5.073958158493042,1.1408400535583496,7200
AV-form1/signalsFiles/f:01-nw:032-ml:08-0.signal,2,64,8,"G(F[0.0,2.0]p)",2,True,88.8409538269043,47.41734290122986,7200
AV-form1/signalsFiles/f:01-nw:032-ml:04-0.signal,2,64,4,"G(F[0.403125,2.0]p)",2,True,66.89129281044006,25.894843578338623,7200
AV-form1/signalsFiles/f:01-nw:012-ml:14-0.signal,2,24,14,"G(F[0.0,2.0]p)",2,True,22.07565402984619,9.266523122787476,7200
AV-form1/signalsFiles/f:01-nw:008-ml:16-0.signal,2,16,16,"G(F[0.0,2.0]p)",2,True,11.493898630142212,3.294546127319336,7200
AV-form1/signalsFiles/f:01-nw:008-ml:12-0.signal,2,16,12,"G(F[0.00625,2.0]p)",2,True,14.171858072280884,6.044939279556274,7200
AV-form1/signalsFiles/f:01-nw:016-ml:06-0.signal,2,32,6,"G(F[0.103125,2.0]p)",2,True,32.85979247093201,15.145340204238892,7200
AV-form1/signalsFiles/f:01-nw:004-ml:10-0.signal,2,8,10,"G(F[0.0,2.0]p)",2,True,5.079922676086426,1.185378074645996,7200
AV-form1/signalsFiles/f:01-nw:004-ml:14-0.signal,2,8,14,"G(F[0.0,1.79375]p)",2,True,4.96635890007019,1.0603413581848145,7200
AV-form1/signalsFiles/f:01-nw:012-ml:08-0.signal,2,24,8,"G(F[0.0,2.0]p)",2,True,18.83056139945984,6.1411590576171875,7200
AV-form1/signalsFiles/f:01-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
AV-form1/signalsFiles/f:01-nw:008-ml:06-0.signal,2,16,6,"G(F[0.003125,1.996875]p)",2,True,11.774774074554443,3.6380674839019775,7200
AV-form1/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,"G(F[0.00625,2.0]p)",2,True,21.972135305404663,9.41671895980835,7200
AV-form1/signalsFiles/f:01-nw:004-ml:12-0.signal,2,8,12,"G(F[0.003125,2.0]p)",2,True,5.044591426849365,1.134228229522705,7200
AV-form1/signalsFiles/f:01-nw:004-ml:16-0.signal,2,8,16,"G(F[0.0,2.0]p)",2,True,5.4705164432525635,1.5728802680969238,7200
AV-form1/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G(F[0.2125,2.0]p)",2,True,26.37391424179077,8.575440645217896,7200
AV-form1/signalsFiles/f:01-nw:016-ml:08-0.signal,2,32,8,"G(F[0.0,2.0]p)",2,True,28.776933908462524,10.811742305755615,7200
AV-form1/signalsFiles/f:01-nw:008-ml:08-0.signal,2,16,8,"G(F[0.0,2.0]p)",2,True,10.249937295913696,2.1725919246673584,7200
AV-form1/signalsFiles/f:01-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
AV-form1/signalsFiles/f:01-nw:012-ml:06-0.signal,2,24,6,"G(F[0.003125,1.896875]p)",2,True,18.249945163726807,5.547189235687256,7200
AV-form1/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.2,1.9]p)",2,True,10.401522636413574,2.2164156436920166,7200
AV-form1/signalsFiles/f:01-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,1.9]p)",2,True,4.448745012283325,0.5154602527618408,7200
AV-form1/signalsFiles/f:01-nw:016-ml:14-0.signal,2,32,14,"G(F[0.0,2.0]p)",2,True,41.74722480773926,23.629324436187744,7200
AV-form1/signalsFiles/f:01-nw:032-ml:06-0.signal,2,64,6,"G(F[0.103125,2.0]p)",2,True,80.42347717285156,39.04887866973877,7200
AV-form1/signalsFiles/f:01-nw:008-ml:14-0.signal,2,16,14,"G(F[0.0,1.9041666666666666]p)",2,True,13.384054183959961,5.191277027130127,7200
AV-form1/signalsFiles/f:01-nw:012-ml:16-0.signal,2,24,16,"G(F[0.0,2.0]p)",2,True,21.062708854675293,8.196582317352295,7200
AV-form1/signalsFiles/f:01-nw:008-ml:10-0.signal,2,16,10,"G(F[0.0,2.0]p)",2,True,12.133752346038818,4.014896392822266,7200
AV-form1/signalsFiles/f:01-nw:012-ml:12-0.signal,2,24,12,"G(F[0.003125,2.0]p)",2,True,25.798292875289917,13.1997549533844,7200
