file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
AV-benchmarks/signalsFiles/f:02-nw:016-ml:12-0.signal,1,32,12,,,,,,7200
AV-benchmarks/signalsFiles/f:02-nw:012-ml:12-0.signal,2,24,12,,,,,,7200
AV-benchmarks/signalsFiles/f:02-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
AV-benchmarks/signalsFiles/f:02-nw:012-ml:06-0.signal,3,24,6,"G((F[0.0,1.903125]q) | p)",4,True,5157.300728321075,4976.43217253685,7200
AV-benchmarks/signalsFiles/f:02-nw:032-ml:12-0.signal,3,64,12,,,,,,7200
AV-benchmarks/signalsFiles/f:02-nw:004-ml:04-0.signal,1,8,4,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:004-ml:06-0.signal,1,8,6,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:004-ml:14-0.signal,1,8,14,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:012-ml:08-0.signal,3,24,8,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:004-ml:10-0.signal,1,8,10,"G(F[0.0,1.0]p)",2,True,5.219842195510864,0.9025521278381348,7200
AV-benchmarks/signalsFiles/f:01-nw:032-ml:10-0.signal,3,64,10,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:012-ml:12-0.signal,3,24,12,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:008-ml:10-0.signal,3,16,10,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:012-ml:16-0.signal,3,24,16,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:008-ml:06-0.signal,3,16,6,"G(F[0.003125,2.096875]p)",2,True,14.564299821853638,4.837267160415649,7200
AV-benchmarks/signalsFiles/f:03-nw:008-ml:14-0.signal,3,16,14,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:012-ml:04-0.signal,3,24,4,"G(F[0.109375,2.203125]p)",2,True,22.92141819000244,7.809050798416138,7200
AV-benchmarks/signalsFiles/f:01-nw:032-ml:14-0.signal,3,64,14,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:032-ml:06-0.signal,3,64,6,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:032-ml:16-0.signal,2,64,16,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:032-ml:04-0.signal,2,64,4,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:016-ml:14-0.signal,1,32,14,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:008-ml:04-0.signal,2,16,4,G(q | p),3,True,121.68732738494873,81.62563157081604,7200
AV-benchmarks/signalsFiles/f:01-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:016-ml:06-0.signal,1,32,6,,,,,,7200
AV-benchmarks/signalsFiles/f:03-nw:012-ml:06-0.signal,2,24,6,,,,,,7200
AV-benchmarks/signalsFiles/f:01-nw:008-ml:16-0.signal,2,16,16,"G(F[0.0,2.0]p)",2,True,14.591774702072144,5.136277675628662,7200
