file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
Third_benchmarks/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0,2.0]p)",2,TRUE,1.4817419052124,0.212727308273315,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0,2.0]p)",2,TRUE,1.46090078353882,0.207597970962524,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0,2.0]p)",2,TRUE,1.39900135993958,0.189189195632935,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:04-0.signal,2,12,4,"G(F[0.0,2.0]p)",2,TRUE,2.15712976455688,0.382482051849365,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:04-0.signal,2,12,4,"G(F[0.0,2.0]p)",2,TRUE,2.26037049293518,0.446550130844116,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:04-0.signal,2,12,4,"G(F[0.0,2.0]p)",2,TRUE,2.1949896812439,0.428455352783203,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.0,2.0]p)",2,TRUE,3.8975658416748,1.45581459999084,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.0,2.0]p)",2,TRUE,3.73961782455444,1.0963249206543,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.0,2.0]p)",2,TRUE,3.56964159011841,1.10504984855652,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,"G(F[0.0,2.0]p)",2,TRUE,4.62926745414734,1.1019115447998,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,"G(F[0.0,2.0]p)",2,TRUE,3.632408618927,0.581876516342163,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,"G(F[0.0,2.0]p)",2,TRUE,3.72991371154785,0.659111022949219,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,"G(F[0.0,2.0]p)",2,TRUE,5.50538301467896,1.48226547241211,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,"G(F[0.0,2.0]p)",2,TRUE,5.11727690696716,1.36616730690002,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,"G(F[0.0,2.0]p)",2,TRUE,5.30329704284668,1.39920544624329,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:04-0.signal,2,28,4,"G(F[0.0,2.0]p)",2,TRUE,6.66770386695862,2.25077486038208,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:04-0.signal,2,28,4,"G(F[0.0,2.0]p)",2,TRUE,6.88702821731567,2.22136688232422,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:04-0.signal,2,28,4,"G(F[0.0,2.0]p)",2,TRUE,6.50788140296936,2.15707087516785,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G(F[0.0,2.0]p)",2,TRUE,9.72277283668518,3.8475604057312,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G(F[0.0,2.0]p)",2,TRUE,8.25922679901123,3.14730525016785,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G(F[0.0,2.0]p)",2,TRUE,8.95673537254334,3.42907428741455,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:04-0.signal,2,36,4,"G(F[0.0,2.0]p)",2,TRUE,10.3558161258698,4.4580135345459,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:04-0.signal,2,36,4,"G(F[0.0,2.0]p)",2,TRUE,9.9588611125946,4.09332418441772,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:04-0.signal,2,36,4,"G(F[0.0,2.0]p)",2,TRUE,10.5149083137512,4.48611187934876,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:04-0.signal,2,40,4,"G(F[0.0,2.0]p)",2,TRUE,10.0293636322021,3.12471175193787,3600
