file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:04-0.signal,1,10,4,"G(F[0.00625,0.90625]p)",2,TRUE,5.71,2.20,5400
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:05-0.signal,1,10,5,"G(F[0.0,1.0]p)",2,TRUE,4.29,0.77,5400
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:06-0.signal,1,10,6,"G(F[0.003125,1.0]p)",2,TRUE,5.54,1.98,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:04-0.signal,1,20,4,"G(F[0.00625,1.0]p)",2,TRUE,10.88,3.04,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:05-0.signal,1,20,5,"G(F[0.0,1.0]p)",2,TRUE,9.77,2.32,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:06-0.signal,1,20,6,"G(F[0.008333333333333333,1.0]p)",2,TRUE,12.83,5.17,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:04-0.signal,1,30,4,"G(F[0.003125,0.903125]p)",2,TRUE,20.47,8.71,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:05-0.signal,1,30,5,"G(F[0.0,1.0]p)",2,TRUE,19.90,8.10,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:06-0.signal,1,30,6,"G(F[0.19583333333333333,1.0]p)",2,TRUE,21.85,9.92,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:04-0.signal,1,40,4,"G(F[0.096875,1.0]p)",2,TRUE,31.61,15.11,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:05-0.signal,1,40,5,"G(F[0.0,1.0]p)",2,TRUE,28.35,12.17,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:06-0.signal,1,40,6,"G(F[0.0,1.0]p)",2,TRUE,39.10,21.35,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:04-0.signal,1,10,4,"G((F[0.0,0.9]q) | p)",4,TRUE,410.84,368.96,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:05-0.signal,1,10,5,"G(F[0.0,1.0]q)",2,TRUE,4.57,0.97,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:06-0.signal,1,10,6,"G(p | (F[0.0,0.903125]q))",4,TRUE,410.62,368.74,5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:04-0.signal,1,20,4,"G(p | (F[0.0,0.9]q))",4,TRUE,875.66,788.79,5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:05-0.signal,1,20,5,"G((F[0.0,1.0]q) | p)",4,TRUE,"1,157.52","1,071.41",5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:06-0.signal,1,20,6,"G(p | (F[0.0,0.903125]q))",4,TRUE,"1,793.95","1,707.15",5400
RQ1-bound-1/signalsFiles/f:02-nw:015-ml:04-0.signal,1,30,4,"G(p | (F[0.0,1.0]q))",4,TRUE,991.63,858.33,5400
RQ1-bound-1/signalsFiles/f:02-nw:015-ml:05-0.signal,1,30,5,"G((F[0.0,1.0]q) | p)",4,TRUE,"3,865.75","3,727.37",5400
RQ1-bound-1/signalsFiles/f:02-nw:015-ml:06-0.signal,1,30,6,"G((F[0.0,1.0]q) | p)",4,TRUE,"2,165.34","2,032.68",5400
RQ1-bound-1/signalsFiles/f:02-nw:020-ml:04-0.signal,1,40,4,"G((F[0.0,0.9]q) | p)",4,TRUE,"3,235.18","3,054.46",5400
RQ1-bound-1/signalsFiles/f:02-nw:020-ml:05-0.signal,1,40,5,,,,,,5400
RQ1-bound-1/signalsFiles/f:02-nw:020-ml:06-0.signal,1,40,6,"G((F[0.0,1.0]q) | p)",4,TRUE,"5,369.72","5,188.62",5400
RQ1-bound-1/signalsFiles/f:03-nw:005-ml:04-0.signal,1,10,4,"G(p | (F[0.9958333333333333,1.0]q))",4,TRUE,348.35,306.30,5400
RQ1-bound-1/signalsFiles/f:03-nw:005-ml:05-0.signal,1,10,5,"G(F[0.425,1.0]p)",2,TRUE,4.22,0.74,5400
RQ1-bound-1/signalsFiles/f:03-nw:005-ml:06-0.signal,1,10,6,"G(p | (G[0.09375,0.30625]q))",4,TRUE,371.32,329.83,5400
RQ1-bound-1/signalsFiles/f:03-nw:010-ml:04-0.signal,1,20,4,"G(p | (F[1.0,1.0]q))",4,TRUE,"1,328.95","1,243.49",5400
RQ1-bound-1/signalsFiles/f:03-nw:010-ml:05-0.signal,1,20,5,G(p | q),3,TRUE,60.28,28.14,5400
RQ1-bound-1/signalsFiles/f:03-nw:010-ml:06-0.signal,1,20,6,"G(p | (G[0.203125,0.503125]q))",4,FALSE,821.73,735.84,5400
RQ1-bound-1/signalsFiles/f:03-nw:015-ml:04-0.signal,1,30,4,"G((G[0.004166666666666667,0.7020833333333333]q) | p)",4,TRUE,"1,573.60","1,429.63",5400
RQ1-bound-1/signalsFiles/f:03-nw:015-ml:05-0.signal,1,30,5,G(p | q),3,TRUE,92.81,43.01,5400
RQ1-bound-1/signalsFiles/f:03-nw:015-ml:06-0.signal,1,30,6,,,,,,5400
RQ1-bound-1/signalsFiles/f:03-nw:020-ml:04-0.signal,1,40,4,,,,,,5400
RQ1-bound-1/signalsFiles/f:03-nw:020-ml:05-0.signal,1,40,5,,,,,,5400
RQ1-bound-1/signalsFiles/f:03-nw:020-ml:06-0.signal,1,40,6,,,,,,5400
RQ1-bound-1/signalsFiles/f:04-nw:020-ml:05-0.signal,1,40,5,"G(p U[0.0,1.0] q)",3,TRUE,758.62,689.84,5400
RQ1-bound-1/signalsFiles/f:04-nw:015-ml:06-0.signal,1,30,6,"G(p U[0.0,1.0] q)",3,TRUE,606.40,552.57,5400
