file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:04-0.signal,1,10,4,"G(F[0.00625,0.90625]p)",2,TRUE,5.71059727668762,2.20339369773865,5400
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:05-0.signal,1,10,5,"G(F[0.0,1.0]p)",2,TRUE,4.29308938980103,0.767230749130249,5400
RQ1-bound-1/signalsFiles/f:01-nw:005-ml:06-0.signal,1,10,6,"G(F[0.003125,1.0]p)",2,TRUE,5.5365035533905,1.978187084198,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:04-0.signal,1,20,4,"G(F[0.00625,1.0]p)",2,TRUE,10.8823304176331,3.0394024848938,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:05-0.signal,1,20,5,"G(F[0.0,1.0]p)",2,TRUE,9.77277636528015,2.31545329093933,5400
RQ1-bound-1/signalsFiles/f:01-nw:010-ml:06-0.signal,1,20,6,"G(F[0.008333333333333333,1.0]p)",2,TRUE,12.8292336463928,5.16500735282898,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:04-0.signal,1,30,4,"G(F[0.003125,0.903125]p)",2,TRUE,20.4688007831573,8.70859050750732,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:05-0.signal,1,30,5,"G(F[0.0,1.0]p)",2,TRUE,19.9044971466064,8.09833884239197,5400
RQ1-bound-1/signalsFiles/f:01-nw:015-ml:06-0.signal,1,30,6,"G(F[0.19583333333333333,1.0]p)",2,TRUE,21.8481588363647,9.91596722602844,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:04-0.signal,1,40,4,"G(F[0.096875,1.0]p)",2,TRUE,31.6074876785278,15.1111195087433,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:05-0.signal,1,40,5,"G(F[0.0,1.0]p)",2,TRUE,28.3513286113739,12.1689147949219,5400
RQ1-bound-1/signalsFiles/f:01-nw:020-ml:06-0.signal,1,40,6,"G(F[0.0,1.0]p)",2,TRUE,39.1013176441193,21.3540060520172,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:04-0.signal,1,10,4,"G((F[0.0,0.9]q) | p)",4,TRUE,410.838711500168,368.960201501846,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:05-0.signal,1,10,5,"G(F[0.0,1.0]q)",2,TRUE,4.57181692123413,0.970255374908447,5400
RQ1-bound-1/signalsFiles/f:02-nw:005-ml:06-0.signal,1,10,6,"G(p | (F[0.0,0.903125]q))",4,TRUE,410.617082834244,368.736263275146,5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:04-0.signal,1,20,4,"G(p | (F[0.0,0.9]q))",4,TRUE,875.663939714432,788.793371677399,5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:05-0.signal,1,20,5,"G((F[0.0,1.0]q) | p)",4,TRUE,1157.51976156235,1071.41093206406,5400
RQ1-bound-1/signalsFiles/f:02-nw:010-ml:06-0.signal,1,20,6,"G(p | (F[0.0,0.903125]q))",4,TRUE,1793.9450070858,1707.14907312393,5400
