file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
scalability-benchmark/signalsFiles/f:04-nw:004-ml:14-0.signal,2,8,14,"G(F[0.1,2.0]p)",2,True,4.374222993850708,1.4346470832824707,3600.0
scalability-benchmark/signalsFiles/f:01-nw:008-ml:08-0.signal,2,16,8,"G(F[0.59375,1.80625]p)",2,True,9.647099494934082,3.684915781021118,3600.0
scalability-benchmark/signalsFiles/f:06-nw:004-ml:06-0.signal,2,8,6,G(q | p),3,True,14.06816840171814,1.5321712493896484,3600.0
scalability-benchmark/signalsFiles/f:03-nw:032-ml:08-0.signal,2,64,8,,,,,,3600.0
scalability-benchmark/signalsFiles/f:03-nw:008-ml:12-0.signal,2,16,12,"G((G[0.396875,0.396875]q) | p)",4,True,2501.8378307819366,2433.1160089969635,3600.0
scalability-benchmark/signalsFiles/f:03-nw:012-ml:10-0.signal,2,24,10,"G((F[0.103125,0.103125]q) | p)",4,True,4577.770116329193,4472.155222415924,3600.0
scalability-benchmark/signalsFiles/f:01-nw:032-ml:12-0.signal,2,64,12,"G(F[0.0,1.09375]p)",2,True,110.17672514915466,76.00099039077759,3600.0
scalability-benchmark/signalsFiles/f:03-nw:008-ml:16-0.signal,2,16,16,,,,,,3600.0
scalability-benchmark/signalsFiles/f:01-nw:012-ml:06-0.signal,2,24,6,"G(F[0.303125,1.303125]p)",2,True,16.581094980239868,7.254295110702515,3600.0
scalability-benchmark/signalsFiles/f:03-nw:012-ml:14-0.signal,2,24,14,,,,,,3600.0
scalability-benchmark/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.103125,0.803125]p)",2,True,9.100969791412354,3.1658384799957275,3600.0
scalability-benchmark/signalsFiles/f:06-nw:016-ml:10-0.signal,2,32,10,,,,,,3600.0
scalability-benchmark/signalsFiles/f:08-nw:032-ml:04-0.signal,2,64,4,,,,,,3600.0
scalability-benchmark/signalsFiles/f:08-nw:008-ml:12-0.signal,2,16,12,,,,,,3600.0
scalability-benchmark/signalsFiles/f:08-nw:012-ml:10-0.signal,2,24,10,,,,,,3600.0
scalability-benchmark/signalsFiles/f:08-nw:032-ml:08-0.signal,2,64,8,,,,,,3600.0
scalability-benchmark/signalsFiles/f:07-nw:016-ml:08-0.signal,2,32,8,,,,,,3600.0
scalability-benchmark/signalsFiles/f:09-nw:012-ml:08-0.signal,2,24,8,"G(p | (G[0.6015625,0.6015625]q))",4,True,3214.0417890548706,3106.7687237262726,3600.0
scalability-benchmark/signalsFiles/f:09-nw:032-ml:10-0.signal,2,64,10,G(q | p),3,True,1527.5205113887787,1400.8065416812897,3600.0
scalability-benchmark/signalsFiles/f:05-nw:016-ml:16-0.signal,2,32,16,,,,,,3600.0
