file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-G-bound-1/signalsFiles/f:01-nw:005-ml:05-0.signal,1,10,5,"G(F[0.425,1.0]p)",2,True,4.2155537605285645,0.7351710796356201,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:020-ml:04-0.signal,1,40,4,,,,,,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:010-ml:06-0.signal,1,20,6,"G(p | (G[0.203125,0.503125]q))",4,False,821.7302560806274,735.8426465988159,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:015-ml:06-0.signal,1,30,6,,,,,,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:020-ml:05-0.signal,1,40,5,,,,,,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:005-ml:04-0.signal,1,10,4,"G(p | (F[0.9958333333333333,1.0]q))",4,True,348.34976959228516,306.2967336177826,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:010-ml:04-0.signal,1,20,4,"G(p | (F[1.0,1.0]q))",4,True,1328.9465730190277,1243.488939523697,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:015-ml:04-0.signal,1,30,4,"G((G[0.004166666666666667,0.7020833333333333]q) | p)",4,True,1573.6042153835297,1429.6330769062042,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:005-ml:06-0.signal,1,10,6,"G(p | (G[0.09375,0.30625]q))",4,True,371.32466745376587,329.8293070793152,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:010-ml:05-0.signal,1,20,5,G(p | q),3,True,60.276418685913086,28.137582540512085,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:020-ml:06-0.signal,1,40,6,,,,,,5400.0
RQ1-G-bound-1/signalsFiles/f:01-nw:015-ml:05-0.signal,1,30,5,G(p | q),3,True,92.80868577957153,43.0070013999939,5400.0
