file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
scalable-max/signalsFiles/f:01-nw:020-ml:14-0.signal,2,40,14,"G(F[0.0,2.0]p)",2,True,55.82914996147156,38.71251130104065,5400.0
scalable-max/signalsFiles/f:02-nw:025-ml:12-0.signal,2,50,12,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:025-ml:14-0.signal,2,50,14,"G(F[0.0,2.0](p & p))",3,True,4441.888296842575,4350.230441570282,5400.0
scalable-max/signalsFiles/f:02-nw:020-ml:12-0.signal,2,40,12,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:030-ml:12-0.signal,2,60,12,"G(F[0.0,2.0]p)",2,True,79.71349859237671,53.056355237960815,5400.0
scalable-max/signalsFiles/f:02-nw:030-ml:14-0.signal,2,58,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:005-ml:14-0.signal,2,10,14,"G(F[0.00625,1.89375]p)",2,True,5.802881717681885,2.304567337036133,5400.0
scalable-max/signalsFiles/f:02-nw:005-ml:12-0.signal,2,10,12,,,,,,5400.0
scalable-max/signalsFiles/f:02-nw:010-ml:14-0.signal,2,20,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:015-ml:12-0.signal,2,30,12,"G(F[0.0,2.0]p)",2,True,25.10867667198181,13.381505727767944,5400.0
scalable-max/signalsFiles/f:02-nw:015-ml:14-0.signal,2,30,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:010-ml:12-0.signal,2,20,12,"G(F[0.0,2.0]p)",2,True,12.972561120986938,5.509186506271362,5400.0
scalable-max/signalsFiles/f:01-nw:005-ml:12-0.signal,2,10,12,"G(F[0.003125,1.996875]p)",2,True,6.233031749725342,2.6610796451568604,5400.0
scalable-max/signalsFiles/f:02-nw:005-ml:14-0.signal,2,10,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:015-ml:14-0.signal,2,30,14,"G(F[0.004166666666666667,2.0]p)",2,True,35.395116090774536,23.62377643585205,5400.0
scalable-max/signalsFiles/f:02-nw:010-ml:12-0.signal,2,20,12,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:010-ml:14-0.signal,2,20,14,,,,,,5400.0
scalable-max/signalsFiles/f:02-nw:015-ml:12-0.signal,2,30,12,,,,,,5400.0
scalable-max/signalsFiles/f:02-nw:025-ml:14-0.signal,2,49,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:020-ml:12-0.signal,2,40,12,"G(F[0.0,2.0]p)",2,True,46.05964398384094,29.778896808624268,5400.0
scalable-max/signalsFiles/f:02-nw:020-ml:14-0.signal,2,40,14,,,,,,5400.0
scalable-max/signalsFiles/f:01-nw:025-ml:12-0.signal,2,50,12,"G(F[0.0,2.0]p)",2,True,56.39228105545044,33.47903251647949,5400.0
scalable-max/signalsFiles/f:01-nw:030-ml:14-0.signal,2,60,14,"G(F[0.0,2.0]p)",2,True,83.45271515846252,56.85936212539673,5400.0
scalable-max/signalsFiles/f:02-nw:030-ml:12-0.signal,2,60,12,,,,,,5400.0
