file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
final_benchmark/signalsFiles/f:01-nw:016-ml:20-0.signal,2,32,20,G(q | p),3,True,486.58434534072876,367.92228150367737,3600
final_benchmark/signalsFiles/f:01-nw:020-ml:16-0.signal,2,40,16,G(p | q),3,True,552.6828694343567,451.83027482032776,3600
final_benchmark/signalsFiles/f:01-nw:020-ml:12-0.signal,2,40,12,G(q | p),3,True,360.1969635486603,267.929728269577,3600
final_benchmark/signalsFiles/f:01-nw:008-ml:16-0.signal,2,16,16,G(q | p),3,True,168.21655297279358,135.6404106616974,3600
final_benchmark/signalsFiles/f:01-nw:008-ml:12-0.signal,2,16,12,G(q | p),3,True,53.83449411392212,27.758947134017944,3600
final_benchmark/signalsFiles/f:01-nw:008-ml:20-0.signal,2,16,20,G(q | p),3,True,257.95332622528076,215.1023247241974,3600
final_benchmark/signalsFiles/f:01-nw:020-ml:20-0.signal,2,40,20,G(p | q),3,True,1008.4348323345184,849.0330681800842,3600
final_benchmark/signalsFiles/f:01-nw:016-ml:16-0.signal,2,32,16,G(q | p),3,True,345.53554821014404,271.9369332790375,3600
final_benchmark/signalsFiles/f:01-nw:016-ml:12-0.signal,2,32,12,G(p | q),3,True,352.7291798591614,280.4034011363983,3600
final_benchmark/signalsFiles/f:01-nw:004-ml:08-0.signal,2,8,8,G(q | p),3,True,10.542887687683105,1.0560524463653564,3600
final_benchmark/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,G(p | q),3,True,17.07707905769348,5.570780515670776,3600
final_benchmark/signalsFiles/f:01-nw:010-ml:08-0.signal,2,20,8,G(p | q),3,True,32.59593629837036,8.422652006149292,3600
final_benchmark/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0,2.0]q)",2,True,1.4817636013031006,0.2480475902557373,3600
final_benchmark/signalsFiles/f:01-nw:014-ml:12-0.signal,2,28,12,G(p | q),3,True,189.73251128196716,144.1233208179474,3600
final_benchmark/signalsFiles/f:01-nw:014-ml:16-0.signal,2,28,16,G(q | p),3,True,399.32338190078735,333.3869090080261,3600
final_benchmark/signalsFiles/f:01-nw:006-ml:08-0.signal,2,12,8,G(p | q),3,True,22.036064624786377,8.10447096824646,3600
final_benchmark/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,G(p | q),3,True,23.117538928985596,8.623515844345093,3600
final_benchmark/signalsFiles/f:01-nw:012-ml:08-0.signal,2,24,8,"G((F[0.041666666666666664,0.9583333333333334]q) | p)",4,True,556.0160758495331,480.0147922039032,3600
final_benchmark/signalsFiles/f:01-nw:006-ml:04-0.signal,2,12,4,G(p | q),3,True,10.491068601608276,3.6517374515533447,3600
final_benchmark/signalsFiles/f:01-nw:018-ml:04-0.signal,2,36,4,"G((F[1.0625,1.125]q) | p)",4,True,471.65060448646545,413.5823543071747,3600
final_benchmark/signalsFiles/f:01-nw:018-ml:08-0.signal,2,36,8,"G(p | (G[0.03125,0.03125]q))",4,True,2456.820979118347,2335.6086056232452,3600
final_benchmark/signalsFiles/f:01-nw:014-ml:20-0.signal,2,28,20,G(q | p),3,True,362.55808305740356,281.7832272052765,3600
final_benchmark/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,G(p | q),3,True,15.396491527557373,5.8013012409210205,3600
final_benchmark/signalsFiles/f:01-nw:008-ml:08-0.signal,2,16,8,G(q | p),3,True,28.622416257858276,9.143102407455444,3600
final_benchmark/signalsFiles/f:01-nw:020-ml:04-0.signal,2,40,4,"G(p | (G[0.0625,0.0625]q))",4,True,645.7786407470703,580.2180614471436,3600
final_benchmark/signalsFiles/f:01-nw:004-ml:20-0.signal,2,8,20,G(p | q),3,True,68.79505705833435,49.20446801185608,3600
final_benchmark/signalsFiles/f:01-nw:010-ml:20-0.signal,2,20,20,G(p | q),3,True,281.5538229942322,222.71067357063293,3600
final_benchmark/signalsFiles/f:01-nw:010-ml:12-0.signal,2,20,12,G(q | p),3,True,125.972971200943,94.67114019393921,3600
final_benchmark/signalsFiles/f:01-nw:010-ml:16-0.signal,2,20,16,G(p | q),3,True,222.62340545654297,180.70973682403564,3600
final_benchmark/signalsFiles/f:01-nw:004-ml:12-0.signal,2,8,12,G(p | q),3,True,28.429105520248413,19.11272430419922,3600
final_benchmark/signalsFiles/f:01-nw:004-ml:16-0.signal,2,8,16,"G(F[0.0,2.0]p)",2,True,5.538442134857178,1.7589175701141357,3600
final_benchmark/signalsFiles/f:01-nw:016-ml:08-0.signal,2,32,8,"G(p | (G[0.041666666666666664,0.08333333333333333]q))",4,True,1570.4620168209076,1467.1183242797852,3600
final_benchmark/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G((G[0.08333333333333333,1.0416666666666667]q) | p)",4,True,287.434268951416,237.91018915176392,3600
final_benchmark/signalsFiles/f:01-nw:018-ml:20-0.signal,2,36,20,G(q | p),3,True,853.7787346839905,718.8135442733765,3600
final_benchmark/signalsFiles/f:01-nw:012-ml:16-0.signal,2,24,16,G(p | q),3,True,281.2396709918976,228.32797932624817,3600
final_benchmark/signalsFiles/f:01-nw:012-ml:12-0.signal,2,24,12,G(p | q),3,True,131.77870631217957,92.5673279762268,3600
final_benchmark/signalsFiles/f:01-nw:006-ml:16-0.signal,2,12,16,G(q | p),3,True,46.392390727996826,22.5171639919281,3600
final_benchmark/signalsFiles/f:01-nw:006-ml:12-0.signal,2,12,12,G(p | q),3,True,19.003893852233887,4.762783765792847,3600
final_benchmark/signalsFiles/f:01-nw:014-ml:08-0.signal,2,28,8,"G((G[0.0,2.0]q) | p)",4,True,744.6407568454742,653.4142162799835,3600
final_benchmark/signalsFiles/f:01-nw:014-ml:04-0.signal,2,28,4,"G(p | (G[0.0,0.0625]q))",4,True,344.696129322052,300.25552248954773,3600
final_benchmark/signalsFiles/f:01-nw:006-ml:20-0.signal,2,12,20,G(p | q),3,True,132.47378706932068,102.11767673492432,3600
final_benchmark/signalsFiles/f:01-nw:012-ml:20-0.signal,2,24,20,G(p | q),3,True,301.03128576278687,234.65839409828186,3600
final_benchmark/signalsFiles/f:01-nw:018-ml:16-0.signal,2,36,16,G(p | q),3,True,496.9877746105194,413.9538893699646,3600
