file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
Third_benchmarks/signalsFiles/f:01-nw:010-ml:16-0.signal,2,20,16,"G(F[0.0,2.0]p)",2,TRUE,24.9717066287994,11.0157840251923,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:12-0.signal,2,20,12,"G(F[0.0,2.0]p)",2,TRUE,12.7086646556854,4.79518508911133,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:16-0.signal,2,8,16,"G(F[0.0,2.0]p)",2,TRUE,7.25162291526794,2.4394805431366,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:12-0.signal,2,8,12,"G(F[0.0,2.0]p)",2,TRUE,4.18897604942322,0.845762491226196,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:08-0.signal,2,32,8,"G(F[0.0,2.0]p)",2,TRUE,16.1463856697083,5.68723678588867,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:06-0.signal,2,36,6,"G(F[0.0,2.0]p)",2,TRUE,14.6312818527222,5.58656430244446,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,"G(F[0.0,2.0]p)",2,TRUE,8.95673537254334,3.42907428741455,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:20-0.signal,2,8,20,"G(F[0.0,2.0]p)",2,TRUE,9.67510104179382,3.22978806495666,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:20-0.signal,2,20,20,"G(F[0.0,2.0]p)",2,TRUE,32.1468198299408,14.6613183021545,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.0,2.0]p)",2,TRUE,3.56964159011841,1.10504984855652,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:06-0.signal,2,24,6,"G(F[0.0,2.0]p)",2,TRUE,8.12576007843018,2.3105320930481,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:08-0.signal,2,16,8,"G(F[0.0,2.0]p)",2,TRUE,7.19466137886047,2.26929306983948,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:06-0.signal,2,12,6,"G(F[0.0,2.0]p)",2,TRUE,3.01112699508667,0.510634183883667,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:18-0.signal,2,28,18,"G(F[0.0,2.0]p)",2,TRUE,39.3588137626648,18.9204730987549,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:04-0.signal,2,40,4,"G(F[0.0,2.0]p)",2,TRUE,9.72654581069946,3.1414852142334,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:14-0.signal,2,28,14,"G(F[0.0,2.0]p)",2,TRUE,27.5832962989807,11.6667354106903,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:08-0.signal,2,40,8,"G(F[0.0,2.0]p)",2,TRUE,23.8145136833191,10.1891627311707,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:10-0.signal,2,28,10,"G(F[0.0,2.0]p)",2,TRUE,22.7133753299713,9.65079355239868,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:06-0.signal,2,20,6,"G(F[0.0,2.0]p)",2,TRUE,6.59163093566895,2.13518285751343,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:06-0.signal,2,8,6,"G(F[0.0,2.0]p)",2,TRUE,1.99966192245483,0.326073408126831,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:12-0.signal,2,36,12,"G(F[0.0,2.0]p)",2,TRUE,28.1818852424622,11.7261679172516,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:16-0.signal,2,36,16,"G(F[0.0,2.0]p)",2,TRUE,60.8721120357513,31.3393983840942,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:18-0.signal,2,32,18,"G(F[0.0,2.0]p)",2,TRUE,51.5233736038208,26.8731079101562,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:10-0.signal,2,32,10,"G(F[0.0,2.0]p)",2,TRUE,26.4616901874542,11.8492159843445,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:14-0.signal,2,32,14,"G(F[0.0,2.0]p)",2,TRUE,37.0133748054504,17.9088840484619,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:20-0.signal,2,12,20,"G(F[0.0,2.0]p)",2,TRUE,16.1524510383606,6.83586025238037,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:20-0.signal,2,24,20,"G(F[0.0,2.0]p)",2,TRUE,40.8173060417175,18.5454776287079,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:12-0.signal,2,24,12,"G(F[0.0,2.0]p)",2,TRUE,16.9791102409363,6.63461709022522,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:10-0.signal,2,16,10,"G(F[0.0,2.0]p)",2,TRUE,9.42966413497925,3.04473996162415,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:16-0.signal,2,24,16,"G(F[0.0,2.0]p)",2,TRUE,36.0818631649017,18.2802181243896,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:14-0.signal,2,16,14,"G(F[0.0,2.0]p)",2,TRUE,13.9514937400818,5.5368595123291,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:12-0.signal,2,12,12,"G(F[0.0,2.0]p)",2,TRUE,7.75452136993408,2.89932465553284,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:16-0.signal,2,12,16,"G(F[0.0,2.0]p)",2,TRUE,11.8443088531494,4.41141176223755,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:18-0.signal,2,16,18,"G(F[0.0,2.0]p)",2,TRUE,18.7995622158051,8.07114601135254,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:10-0.signal,2,40,10,"G(F[0.0,2.0]p)",2,TRUE,42.0053837299347,23.9175724983215,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:14-0.signal,2,40,14,"G(F[0.0,2.0]p)",2,TRUE,51.4658048152924,27.1643779277802,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:08-0.signal,2,28,8,"G(F[0.0,2.0]p)",2,TRUE,14.0541048049927,5.08089303970337,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:18-0.signal,2,40,18,"G(F[0.0,2.0]p)",2,TRUE,55.3005211353302,23.9067044258118,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:04-0.signal,2,28,4,"G(F[0.0,2.0]p)",2,TRUE,6.50788140296936,2.15707087516785,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:20-0.signal,2,36,20,"G(F[0.0,2.0]p)",2,TRUE,70.96275806427,34.8644156455994,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:10-0.signal,2,36,10,"G(F[0.0,2.0]p)",2,TRUE,33.170375585556,14.9959383010864,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:14-0.signal,2,36,14,"G(F[0.0,2.0]p)",2,TRUE,46.9095945358276,25.8265919685364,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:12-0.signal,2,32,12,"G(F[0.0,2.0]p)",2,TRUE,25.9736318588257,10.9692585468292,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:16-0.signal,2,32,16,"G(F[0.0,2.0]p)",2,TRUE,52.0192437171936,26.4691619873047,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:18-0.signal,2,36,18,"G(F[0.0,2.0]p)",2,TRUE,64.540721654892,32.3057625293732,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:08-0.signal,2,8,8,"G(F[0.0,2.0]p)",2,TRUE,3.25541591644287,0.634944438934326,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:04-0.signal,2,20,4,"G(F[0.0,2.0]p)",2,TRUE,3.72991371154785,0.659111022949219,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:08-0.signal,2,20,8,"G(F[0.0,2.0]p)",2,TRUE,9.19639778137207,3.12186145782471,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.0,2.0]p)",2,TRUE,1.39900135993958,0.189189195632935,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:20-0.signal,2,16,20,"G(F[0.0,2.0]p)",2,TRUE,23.206817150116,9.58142447471619,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:20-0.signal,2,40,20,"G(F[0.0,2.0]p)",2,TRUE,70.6773140430451,29.1816132068634,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:12-0.signal,2,40,12,"G(F[0.0,2.0]p)",2,TRUE,40.5452806949616,22.2624914646149,3600
Third_benchmarks/signalsFiles/f:01-nw:020-ml:16-0.signal,2,40,16,"G(F[0.0,2.0]p)",2,TRUE,64.0410928726196,31.6980168819427,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:06-0.signal,2,28,6,"G(F[0.0,2.0]p)",2,TRUE,10.7806367874146,4.25075268745422,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:12-0.signal,2,16,12,"G(F[0.0,2.0]p)",2,TRUE,9.69387698173523,3.18014645576477,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:10-0.signal,2,24,10,"G(F[0.0,2.0]p)",2,TRUE,19.0596532821655,8.63597965240479,3600
Third_benchmarks/signalsFiles/f:01-nw:008-ml:16-0.signal,2,16,16,"G(F[0.0,2.0]p)",2,TRUE,19.5238082408905,7.8575119972229,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:14-0.signal,2,24,14,"G(F[0.0,2.0]p)",2,TRUE,26.0105924606323,12.313268661499,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:18-0.signal,2,12,18,"G(F[0.0,2.0]p)",2,TRUE,12.57759308815,4.83856892585754,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:10-0.signal,2,12,10,"G(F[0.0,2.0]p)",2,TRUE,6.34083724021912,1.7650454044342,3600
Third_benchmarks/signalsFiles/f:01-nw:006-ml:14-0.signal,2,12,14,"G(F[0.0,2.0]p)",2,TRUE,10.1061205863953,3.9477231502533,3600
Third_benchmarks/signalsFiles/f:01-nw:012-ml:18-0.signal,2,24,18,"G(F[0.0,2.0]p)",2,TRUE,37.3564710617065,20.1545004844665,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:20-0.signal,2,32,20,"G(F[0.0,2.0]p)",2,TRUE,58.1814723014832,24.9295806884766,3600
Third_benchmarks/signalsFiles/f:01-nw:014-ml:20-0.signal,2,28,20,"G(F[0.0,2.0]p)",2,TRUE,45.6553366184235,19.8828732967377,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:04-0.signal,2,36,4,"G(F[0.0,2.0]p)",2,TRUE,10.5149083137512,4.48611187934876,3600
Third_benchmarks/signalsFiles/f:01-nw:018-ml:08-0.signal,2,36,8,"G(F[0.0,2.0]p)",2,TRUE,20.3415250778198,8.13572573661804,3600
Third_benchmarks/signalsFiles/f:01-nw:016-ml:06-0.signal,2,32,6,"G(F[0.0,2.0]p)",2,TRUE,11.6215324401855,3.88381576538086,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:14-0.signal,2,20,14,"G(F[0.0,2.0]p)",2,TRUE,18.5129685401917,7.37021136283875,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:18-0.signal,2,8,18,"G(F[0.0,2.0]p)",2,TRUE,7.02632069587708,2.21275591850281,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:10-0.signal,2,20,10,"G(F[0.0,2.0]p)",2,TRUE,14.1499738693237,5.55180668830872,3600
Third_benchmarks/signalsFiles/f:01-nw:004-ml:14-0.signal,2,8,14,"G(F[0.0,2.0]p)",2,TRUE,5.66984009742737,1.79885244369507,3600
Third_benchmarks/signalsFiles/f:01-nw:010-ml:18-0.signal,2,20,18,"G(F[0.0,2.0]p)",2,TRUE,24.7274096012115,10.7170224189758,3600
