file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
first-run/signalsFiles/f:03-nw:004-ml:08-0.signal,2,8,8,"G(p | (G[2.0,2.0]p))",3,True,80.14246869087219,58.935200452804565,7200
first-run/signalsFiles/f:02-nw:012-ml:08-0.signal,2,24,8,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
first-run/signalsFiles/f:02-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,2.0]q)",2,True,5.954020023345947,1.462470293045044,7200
first-run/signalsFiles/f:03-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:06-0.signal,2,32,6,"G(F[0.003125,1.903125]p)",2,True,33.83088445663452,14.34191608428955,7200
first-run/signalsFiles/f:03-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
first-run/signalsFiles/f:01-nw:008-ml:12-0.signal,2,16,12,"G(F[0.0,2.0]p)",2,True,15.85049843788147,6.349607944488525,7200
first-run/signalsFiles/f:03-nw:032-ml:04-0.signal,2,64,4,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:08-0.signal,2,32,8,,,,,,7200
first-run/signalsFiles/f:03-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:06-0.signal,2,32,6,"G(p | (F[0.0,2.0]q))",4,True,6693.594056129456,6463.899722099304,7200
first-run/signalsFiles/f:02-nw:032-ml:06-0.signal,2,64,6,,,,,,7200
first-run/signalsFiles/f:01-nw:004-ml:14-0.signal,2,8,14,"G(F[0.00625,2.0]p)",2,True,5.266595840454102,0.9160993099212646,7200
first-run/signalsFiles/f:01-nw:004-ml:10-0.signal,2,8,10,"G(F[0.0,2.0]p)",2,True,5.415860891342163,1.0666859149932861,7200
first-run/signalsFiles/f:03-nw:004-ml:06-0.signal,2,8,6,"G(p | (G[0.0015625,0.0015625]q))",4,True,262.03215503692627,213.11587953567505,7200
first-run/signalsFiles/f:02-nw:012-ml:16-0.signal,2,24,16,,,,,,7200
first-run/signalsFiles/f:02-nw:004-ml:12-0.signal,2,8,12,,,,,,7200
first-run/signalsFiles/f:01-nw:004-ml:16-0.signal,2,8,16,"G(F[0.0,2.0]p)",2,True,5.856586217880249,1.5071978569030762,7200
first-run/signalsFiles/f:03-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
first-run/signalsFiles/f:01-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
first-run/signalsFiles/f:03-nw:012-ml:16-0.signal,2,24,16,,,,,,7200
first-run/signalsFiles/f:01-nw:004-ml:08-0.signal,2,8,8,"G(F[0.0,2.0]p)",2,True,5.80614447593689,1.460787296295166,7200
