Samplesize1,TotalTime1,Samplesize2,TotalTime2,Samplesize3,TotalTime3,Samplesize4,TotalTime4,Samplesize5,TotalTime5,Samplesize6,TotalTime6,Samplesize7,TotalTime7,Samplesize8,TotalTime8,Samplesize9,TotalTime9,Samplesize10,TotalTime10
40,0.08,40,2.03,40,297.26,40,303.91,40,2.12,40,61.54,40,559.37,40,2.28,40,613.24,40,2.07
50,0.09,50,2.01,50,256.92,50,34.9,50,3.23,50,174.73,50,333.51,50,2.04,50,558.01,50,2.15
60,0.11,60,2.94,60,14.68,60,98.09,60,3.49,60,606.53,60,46.26,60,3.71,60,2.7,60,673.62
80,0.14,80,4.44,80,824.68,80,873.55,80,5.53,80,655.23,80,1642.51,80,4.56,80,1755.12,80,75.22
100,0.15,100,4.55,100,2639.89,100,253.07,100,8.31,100,2751.95,100,828.06,100,7.46,100,2158.51,100,711.23
120,0.18,120,5.83,120,2395.66,120,163.08,120,6.71,120,5182.38,120,1980.48,120,6.58,120,3648.19,120,2693.52
120,0.2,120,7.14,120,938.11,120,1440.69,120,8.53,120,2119.75,120,1498.67,120,8.95,150,4582.29,120,1763.57
150,0.23,150,8.54,150,5020.54,180,421.67,150,11.89,160,4405.92,160,2582.88,150,12.61,160,3569.68,160,4901.04
180,0.23,180,11.81,160,3664.29,160,2858.86,180,10.95,,,,,180,12.22,200,5066.92,,
144,0.23,160,10.48,200,3967.56,,,160,10.99,,,,,160,10.95,,,,
200,0.33,200,16.42,,,,,200,17.97,,,,,200,18.26,,,,
240,0.33,240,15.82,,,,,240,15.47,,,,,240,17.48,,,,
