file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
tiny-sample/signalsFiles/f:02-nw:004-ml:06-0.signal,2,8,6,"G(p | (F[1.109375,1.803125]q))",4,True,283.595698595047,250.2681953907013,3600.0
tiny-sample/signalsFiles/f:03-nw:004-ml:06-0.signal,2,8,6,G(q | p),3,True,18.91324782371521,4.707174301147461,3600.0
tiny-sample/signalsFiles/f:03-nw:004-ml:04-0.signal,2,8,4,"G(p | (G[2.0,2.0]q))",4,True,105.13269209861755,72.06338310241699,3600.0
tiny-sample/signalsFiles/f:02-nw:008-ml:06-0.signal,2,16,6,,,,,,3600.0
tiny-sample/signalsFiles/f:02-nw:008-ml:04-0.signal,2,16,4,,,,,,3600.0
tiny-sample/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.00625,1.30625]p)",2,True,3.831716775894165,0.6744823455810547,3600.0
tiny-sample/signalsFiles/f:01-nw:008-ml:06-0.signal,2,16,6,"G(F[0.003125,1.503125]p)",2,True,9.575974941253662,2.620750665664673,3600.0
tiny-sample/signalsFiles/f:03-nw:008-ml:04-0.signal,2,16,4,"G((G[0.103125,0.103125]q) | p)",4,True,331.09998178482056,251.70615673065186,3600.0
tiny-sample/signalsFiles/f:01-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,2.0]p)",2,True,3.810676097869873,0.9548943042755127,3600.0
tiny-sample/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.0,2.0]p)",2,True,9.044484376907349,3.0071794986724854,3600.0
tiny-sample/signalsFiles/f:02-nw:004-ml:04-0.signal,2,8,4,"G(F[0.00625,2.0]p)",2,True,4.361495733261108,0.9378855228424072,3600.0
tiny-sample/signalsFiles/f:03-nw:008-ml:06-0.signal,2,16,6,G(p | q),3,True,48.91447925567627,23.021900415420532,3600.0
